"account_catalog_id","number","name","description","control_account","is_control","is_transaction","status_type","created_by","created_date","last_modified_by","last_modified_date","balance","outlet_id"
"3aac5e92-d56a-43cd-b31f-637bde433fd5","1414","ACONDICIONADOR DE AIRE","Cuenta Acondicionador de Aire - Cuenta control prepiedad Planta y Equipo","8dcff183-e4fd-4501-bd3f-17d2d358dc65",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.889","k.guzman","2021-02-01 17:26:03.889","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"87cd14e0-7a06-4647-a385-4ba047b4adc9","1415","CAMARA OFICINA","Cuenta Camara de Oficina - Cuenta control prepiedad Planta y Equipo","8dcff183-e4fd-4501-bd3f-17d2d358dc65",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.89","k.guzman","2021-02-01 17:26:03.89","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"b640a63d-831f-4efe-a0a4-badd2068f019","142","DEPRECIACION","Cuenta Control Depreciacion","8dcff183-e4fd-4501-bd3f-17d2d358dc65",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.88","k.guzman","2021-02-01 17:26:03.88","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"ec32c792-751e-4d69-b68c-e68881c22b7c","142-1","DEPRECIACION EQUIPO DE OFICINA","Cuenta Depreciacion  Equipo de oficina - Cuenta Control Depreciacion","b640a63d-831f-4efe-a0a4-badd2068f019",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.883","k.guzman","2021-02-01 17:26:03.883","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"0751e6e9-a30f-44e4-98bf-4d9d9eb5908e","142-2","DEPRECIACION MOBILIARIO DE OFICINA","Cuenta Depreciacion Mobiliario de Oficina - Cuenta Control Depreciacion","b640a63d-831f-4efe-a0a4-badd2068f019",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.884","k.guzman","2021-02-01 17:26:03.884","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"859813ba-53cf-4630-9a18-032953437e90","142-3","DEPRECIACION EQUIPOS DE COMPUTADORA","Cuenta Depreciacion Equipos de Computadora - Cuenta Control Depreciacion","b640a63d-831f-4efe-a0a4-badd2068f019",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.885","k.guzman","2021-02-01 17:26:03.885","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"827fe7b2-afd0-4a9e-aca8-d749282a0836","142-4","DEPRECIACION ACONDICIONADOR DE AIRE","Cuanta Depreciacion Aondicionador de Aire - Cuenta Control Depreciacion","b640a63d-831f-4efe-a0a4-badd2068f019",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.886","k.guzman","2021-02-01 17:26:03.886","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"e1aea8b6-b52e-4c8e-b2b9-0087995dfaab","142-5","DEPRECIACION CAMARA DE OFICINA","Cuenta Depreciacion Camara deoficina - Cuenta Control Depreciacion","b640a63d-831f-4efe-a0a4-badd2068f019",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.887","k.guzman","2021-02-01 17:26:03.887","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"294ff342-ae95-422d-a2eb-557216fc73c3","15","EQUIPOS DE TRANSPORTE","Cuenta Control Equipos de motor","8dcff183-e4fd-4501-bd3f-17d2d358dc65",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.891","k.guzman","2021-02-01 17:26:03.891","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"4482aff6-9b7a-4cc1-8f53-8b1a10c48159","151","MOTOR","Cuenta Motor - Cuenta Control Equipos de Transporte","294ff342-ae95-422d-a2eb-557216fc73c3",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.892","k.guzman","2021-02-01 17:26:03.892","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"266c2455-7a7c-4937-9b9e-9212e2efb0bb","152","DEPRECIACION MOTOR","Cuenta Depreciacion Motor - Cuenta Control Equipos de Transporte","294ff342-ae95-422d-a2eb-557216fc73c3",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.893","k.guzman","2021-02-01 17:26:03.893","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"97ce0bad-65e6-4451-a352-d81bc7879a4d","2","PASIVO","Cuenta Control pasivo",NULL,True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.894","k.guzman","2021-02-01 17:26:03.894","26341.62","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"6d272c2b-8927-4595-912f-d1159e1abafb","21","PASIVO CIRCULANTE","Cuenta Pasivo Circulante - Cuenta control Pasivo","97ce0bad-65e6-4451-a352-d81bc7879a4d",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.895","k.guzman","2021-02-01 17:26:03.895","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"d2c6cd97-fcd5-427e-acdb-8a9d8ef63ba3","2101","CUENTAS POR PAGAR","Cuenta Por Pagar - Cuenta Control Pasivo","6d272c2b-8927-4595-912f-d1159e1abafb",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.897","k.guzman","2021-02-01 17:26:03.897","5000.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"a1960ec7-3119-4969-84d4-38e7803f0385","22","ACUMULACIONES POR PARGAR","Cuenta Control Acumulaciones por pagar","6d272c2b-8927-4595-912f-d1159e1abafb",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.896","k.guzman","2021-02-01 17:26:03.896","21341.62","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"da021d50-f894-4bd5-900b-c633ca47d635","2201","SUELDOS DE NAVIDAD POR PAGAR","Cuenta Sueldos de Navidad Por pagar - Cuenta Control Acumulaciones por pagar","a1960ec7-3119-4969-84d4-38e7803f0385",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.898","k.guzman","2021-02-01 17:26:03.898","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"895bf30a-8b0d-4343-8126-524ca997b219","2202","BONIFICACIONES POR PAGAR","Cuenta Acumulaciones por pagar - Cuenta Control Acumulaciones por Pagar","a1960ec7-3119-4969-84d4-38e7803f0385",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.899","k.guzman","2021-02-01 17:26:03.899","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
